,subject,level_1,prob,sem_bin_mean,sem_bin
2617,MTK00531,7,0.20408163265306123,0.16518742442131043,7
2618,MTK00531,8,0.1590909090909091,0.2148278078862599,8
2619,MTK00531,9,0.17777777777777778,0.35542563162744045,9
2620,MTK00543,0,0.0784313725490196,-0.002817143453285098,0
2621,MTK00543,1,0.24,0.03679248054201404,1
2622,MTK00543,2,0.13953488372093023,0.06088666742046674,2
2623,MTK00543,3,0.14,0.07534329167434148,3
2624,MTK00543,4,0.1590909090909091,0.09641588798591069,4
2625,MTK00543,5,0.15217391304347827,0.11296484087194715,5
2626,MTK00543,6,0.1956521739130435,0.14186008108986747,6
2627,MTK00543,7,0.23529411764705882,0.1650875024497509,7
2628,MTK00543,8,0.15384615384615385,0.2172200158238411,8
2629,MTK00543,9,0.23529411764705882,0.290495394418637,9
2630,MTK00582,0,0.16981132075471697,-0.008588913414213393,0
2631,MTK00582,1,0.21875,0.03181014449468681,1
2632,MTK00582,2,0.25,0.058377842019711225,2
2633,MTK00582,3,0.11594202898550725,0.07855096738785505,3
2634,MTK00582,4,0.2711864406779661,0.09676431072875857,4
2635,MTK00582,5,0.14754098360655737,0.11713797516292995,5
2636,MTK00582,6,0.19298245614035087,0.13675285604867068,6
2637,MTK00582,7,0.11290322580645161,0.1641705334186554,7
2638,MTK00582,8,0.16666666666666666,0.21065393090248108,8
2639,MTK00582,9,0.17857142857142858,0.3278325662016869,9
2640,MTK00594,0,0.21333333333333335,-0.010711584680393571,0
2641,MTK00594,1,0.21428571428571427,0.033431917842891484,1
2642,MTK00594,2,0.20987654320987653,0.05575077411006479,2
2643,MTK00594,3,0.1111111111111111,0.07380165159702301,3
2644,MTK00594,4,0.10843373493975904,0.09741426590416166,4
2645,MTK00594,5,0.21333333333333335,0.11462655523791909,5
2646,MTK00594,6,0.23943661971830985,0.13738024497733398,6
2647,MTK00594,7,0.1891891891891892,0.16205780846732004,7
2648,MTK00594,8,0.19117647058823528,0.2081166563125757,8
2649,MTK00594,9,0.1891891891891892,0.3525739812425205,9
2650,MTK00598,0,0.16417910447761194,-0.016482749848033895,0
2651,MTK00598,1,0.25,0.03443642904361089,1
2652,MTK00598,2,0.14084507042253522,0.05490994974970818,2
2653,MTK00598,3,0.1388888888888889,0.07514277771115303,3
2654,MTK00598,4,0.1935483870967742,0.09373478218913078,4
2655,MTK00598,5,0.15,0.11700376371542613,5
2656,MTK00598,6,0.19444444444444445,0.1390851033585412,6
2657,MTK00598,7,0.20588235294117646,0.16454074744667327,7
2658,MTK00598,8,0.12121212121212122,0.20756682381033897,8
2659,MTK00598,9,0.27586206896551724,0.3093160269781947,9
2660,MTK00599,0,0.10869565217391304,-0.005741666606627405,0
2661,MTK00599,1,0.08888888888888889,0.038200067821890116,1
2662,MTK00599,2,0.20408163265306123,0.05706770867109299,2
2663,MTK00599,3,0.10869565217391304,0.08030864298343658,3
2664,MTK00599,4,0.23076923076923078,0.09562714025378227,4
2665,MTK00599,5,0.1,0.11376300156116485,5
2666,MTK00599,6,0.25,0.13854442288478216,6
2667,MTK00599,7,0.11627906976744186,0.16497188210487365,7
2668,MTK00599,8,0.14893617021276595,0.20811989051955088,8
2669,MTK00599,9,0.34210526315789475,0.3099924016457338,9
2670,MTK00601,0,0.234375,-0.0047697740917404495,0
2671,MTK00601,1,0.18840579710144928,0.03593341648005522,1
2672,MTK00601,2,0.2222222222222222,0.057097068056464195,2
2673,MTK00601,3,0.11627906976744186,0.08064716383814811,3
2674,MTK00601,4,0.2,0.09617843745010239,4
2675,MTK00601,5,0.2028985507246377,0.11647465558988708,5
2676,MTK00601,6,0.1411764705882353,0.13852712387839952,6
2677,MTK00601,7,0.14457831325301204,0.16809486970305443,7
2678,MTK00601,8,0.1917808219178082,0.21231103582041605,8
2679,MTK00601,9,0.3333333333333333,0.34168482285279494,9
2680,MTK00602,0,0.14754098360655737,-0.004568248366316159,0
2681,MTK00602,1,0.09803921568627451,0.03335554040968418,1
2682,MTK00602,2,0.16363636363636364,0.0575416742099656,2
2683,MTK00602,3,0.3275862068965517,0.07648132427742607,3
2684,MTK00602,4,0.20833333333333334,0.09625108614563942,4
2685,MTK00602,5,0.1111111111111111,0.11561246837178867,5
2686,MTK00602,6,0.1320754716981132,0.13725200721195766,6
2687,MTK00602,7,0.17307692307692307,0.16595402525530922,7
2688,MTK00602,8,0.17777777777777778,0.20468256436288357,8
2689,MTK00602,9,0.14583333333333334,0.34756408418927875,9
2690,MTK00604,0,0.1,0.0025495120983881256,0
2691,MTK00604,1,0.13559322033898305,0.03859906690195203,1
2692,MTK00604,2,0.13846153846153847,0.05662495022018751,2
2693,MTK00604,3,0.10526315789473684,0.08019335474818945,3
2694,MTK00604,4,0.2028985507246377,0.0951673329940864,4
2695,MTK00604,5,0.11764705882352941,0.1140354247763753,5
2696,MTK00604,6,0.14084507042253522,0.1369122937321663,6
2697,MTK00604,7,0.14925373134328357,0.16507455110549926,7
2698,MTK00604,8,0.29411764705882354,0.20895826146006585,8
2699,MTK00604,9,0.3793103448275862,0.31922856786034326,9
2700,MTK00605,0,0.21428571428571427,-0.009759547264871394,0
2701,MTK00605,1,0.17721518987341772,0.03129645463611398,1
2702,MTK00605,2,0.2,0.05764521122910082,2
2703,MTK00605,3,0.1794871794871795,0.07754425704479218,3
2704,MTK00605,4,0.18478260869565216,0.09428274719154134,4
2705,MTK00605,5,0.19101123595505617,0.1159064292031176,5
2706,MTK00605,6,0.21348314606741572,0.1386963466280385,6
2707,MTK00605,7,0.17333333333333334,0.1646870603928199,7
2708,MTK00605,8,0.189873417721519,0.2034694294134776,8
2709,MTK00605,9,0.18181818181818182,0.28773628547787666,9
2710,MTK00606,0,0.15789473684210525,-0.011962988174572173,0
2711,MTK00606,1,0.136986301369863,0.039699435234069824,1
2712,MTK00606,2,0.16393442622950818,0.057666045427322385,2
2713,MTK00606,3,0.2,0.07951741168896358,3
2714,MTK00606,4,0.12903225806451613,0.09661612287163734,4
2715,MTK00606,5,0.140625,0.11452483385801315,5
2716,MTK00606,6,0.11475409836065574,0.13935228969369615,6
2717,MTK00606,7,0.3064516129032258,0.1635034656838367,7
2718,MTK00606,8,0.2962962962962963,0.2047334872186184,8
2719,MTK00606,9,0.21153846153846154,0.2884858778931878,9
2720,MTK00607,0,0.09375,-0.007590247376356274,0
2721,MTK00607,1,0.25,0.035410122118062444,1
2722,MTK00607,2,0.06896551724137931,0.05867769196629524,2
2723,MTK00607,3,0.26153846153846155,0.07658623465720345,3
2724,MTK00607,4,0.2361111111111111,0.09419463311924654,4
2725,MTK00607,5,0.14492753623188406,0.11431494355201721,5
2726,MTK00607,6,0.1111111111111111,0.13640814274549484,6
2727,MTK00607,7,0.20253164556962025,0.16694326512515545,7
2728,MTK00607,8,0.14492753623188406,0.2010306552052498,8
